2024-06-23 17:27:07 status unpacked libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-1
2024-06-23 17:27:07 status half-configured libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-1
2024-06-23 17:27:07 status installed libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-1
2024-06-23 17:27:07 configure libcairo-gobject2:amd64 1.18.0-3+b1 <none>
2024-06-23 17:27:07 status unpacked libcairo-gobject2:amd64 1.18.0-3+b1
2024-06-23 17:27:07 status half-configured libcairo-gobject2:amd64 1.18.0-3+b1
2024-06-23 17:27:07 status installed libcairo-gobject2:amd64 1.18.0-3+b1
2024-06-23 17:27:07 configure libgtk2.0-common:all 2.24.33-4 <none>
2024-06-23 17:27:07 status unpacked libgtk2.0-common:all 2.24.33-4
2024-06-23 17:27:07 status half-configured libgtk2.0-common:all 2.24.33-4
2024-06-23 17:27:07 status installed libgtk2.0-common:all 2.24.33-4
2024-06-23 17:27:07 configure gtk-update-icon-cache:amd64 3.24.42-1 <none>
2024-06-23 17:27:07 status unpacked gtk-update-icon-cache:amd64 3.24.42-1
2024-06-23 17:27:07 status half-configured gtk-update-icon-cache:amd64 3.24.42-1
2024-06-23 17:27:07 status installed gtk-update-icon-cache:amd64 3.24.42-1
2024-06-23 17:27:07 configure libthai0:amd64 0.1.29-2 <none>
2024-06-23 17:27:07 status unpacked libthai0:amd64 0.1.29-2
2024-06-23 17:27:07 status half-configured libthai0:amd64 0.1.29-2
2024-06-23 17:27:07 status installed libthai0:amd64 0.1.29-2
2024-06-23 17:27:07 configure adwaita-icon-theme:all 46.0-1 <none>
2024-06-23 17:27:07 status unpacked adwaita-icon-theme:all 46.0-1
2024-06-23 17:27:07 status half-configured adwaita-icon-theme:all 46.0-1
2024-06-23 17:27:07 status installed adwaita-icon-theme:all 46.0-1
2024-06-23 17:27:07 configure libgdk-pixbuf2.0-bin:amd64 2.42.12+dfsg-1 <none>
2024-06-23 17:27:07 status unpacked libgdk-pixbuf2.0-bin:amd64 2.42.12+dfsg-1
2024-06-23 17:27:07 status half-configured libgdk-pixbuf2.0-bin:amd64 2.42.12+dfsg-1
2024-06-23 17:27:07 status installed libgdk-pixbuf2.0-bin:amd64 2.42.12+dfsg-1
2024-06-23 17:27:07 configure libpango-1.0-0:amd64 1.54.0+ds-1 <none>
2024-06-23 17:27:07 status unpacked libpango-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:27:07 status half-configured libpango-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:27:07 status installed libpango-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:27:07 configure libpangoft2-1.0-0:amd64 1.54.0+ds-1 <none>
2024-06-23 17:27:07 status unpacked libpangoft2-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:27:07 status half-configured libpangoft2-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:27:07 status installed libpangoft2-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:27:07 configure libpangocairo-1.0-0:amd64 1.54.0+ds-1 <none>
2024-06-23 17:27:07 status unpacked libpangocairo-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:27:07 status half-configured libpangocairo-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:27:07 status installed libpangocairo-1.0-0:amd64 1.54.0+ds-1
2024-06-23 17:27:07 configure librsvg2-2:amd64 2.58.0+dfsg-1 <none>
2024-06-23 17:27:07 status unpacked librsvg2-2:amd64 2.58.0+dfsg-1
2024-06-23 17:27:07 status half-configured librsvg2-2:amd64 2.58.0+dfsg-1
2024-06-23 17:27:07 status installed librsvg2-2:amd64 2.58.0+dfsg-1
2024-06-23 17:27:07 configure libgtk2.0-0t64:amd64 2.24.33-4 <none>
2024-06-23 17:27:07 status unpacked libgtk2.0-0t64:amd64 2.24.33-4
2024-06-23 17:27:07 status half-configured libgtk2.0-0t64:amd64 2.24.33-4
2024-06-23 17:27:07 status installed libgtk2.0-0t64:amd64 2.24.33-4
2024-06-23 17:27:07 configure librsvg2-common:amd64 2.58.0+dfsg-1 <none>
2024-06-23 17:27:07 status unpacked librsvg2-common:amd64 2.58.0+dfsg-1
2024-06-23 17:27:07 status half-configured librsvg2-common:amd64 2.58.0+dfsg-1
2024-06-23 17:27:07 status installed librsvg2-common:amd64 2.58.0+dfsg-1
2024-06-23 17:27:07 status triggers-pending libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-1
2024-06-23 17:27:07 configure libgail18t64:amd64 2.24.33-4 <none>
2024-06-23 17:27:07 status unpacked libgail18t64:amd64 2.24.33-4
2024-06-23 17:27:07 status half-configured libgail18t64:amd64 2.24.33-4
2024-06-23 17:27:07 status installed libgail18t64:amd64 2.24.33-4
2024-06-23 17:27:07 configure libgtk2.0-bin:amd64 2.24.33-4 <none>
2024-06-23 17:27:07 status unpacked libgtk2.0-bin:amd64 2.24.33-4
2024-06-23 17:27:07 status half-configured libgtk2.0-bin:amd64 2.24.33-4
2024-06-23 17:27:07 status installed libgtk2.0-bin:amd64 2.24.33-4
2024-06-23 17:27:07 configure libgail-common:amd64 2.24.33-4 <none>
2024-06-23 17:27:07 status unpacked libgail-common:amd64 2.24.33-4
2024-06-23 17:27:07 status half-configured libgail-common:amd64 2.24.33-4
2024-06-23 17:27:07 status installed libgail-common:amd64 2.24.33-4
2024-06-23 17:27:07 trigproc libc-bin:amd64 2.38-13 <none>
2024-06-23 17:27:07 status half-configured libc-bin:amd64 2.38-13
2024-06-23 17:27:07 status installed libc-bin:amd64 2.38-13
